"Label (Grouping)","ZCTA5 90043!!Total!!Estimate","ZCTA5 90043!!Total!!Margin of Error","ZCTA5 90043!!Percent!!Estimate","ZCTA5 90043!!Percent!!Margin of Error","ZCTA5 90043!!Male!!Estimate","ZCTA5 90043!!Male!!Margin of Error","ZCTA5 90043!!Percent Male!!Estimate","ZCTA5 90043!!Percent Male!!Margin of Error","ZCTA5 90043!!Female!!Estimate","ZCTA5 90043!!Female!!Margin of Error","ZCTA5 90043!!Percent Female!!Estimate","ZCTA5 90043!!Percent Female!!Margin of Error","ZCTA5 90045!!Total!!Estimate","ZCTA5 90045!!Total!!Margin of Error","ZCTA5 90045!!Percent!!Estimate","ZCTA5 90045!!Percent!!Margin of Error","ZCTA5 90045!!Male!!Estimate","ZCTA5 90045!!Male!!Margin of Error","ZCTA5 90045!!Percent Male!!Estimate","ZCTA5 90045!!Percent Male!!Margin of Error","ZCTA5 90045!!Female!!Estimate","ZCTA5 90045!!Female!!Margin of Error","ZCTA5 90045!!Percent Female!!Estimate","ZCTA5 90045!!Percent Female!!Margin of Error","ZCTA5 90250!!Total!!Estimate","ZCTA5 90250!!Total!!Margin of Error","ZCTA5 90250!!Percent!!Estimate","ZCTA5 90250!!Percent!!Margin of Error","ZCTA5 90250!!Male!!Estimate","ZCTA5 90250!!Male!!Margin of Error","ZCTA5 90250!!Percent Male!!Estimate","ZCTA5 90250!!Percent Male!!Margin of Error","ZCTA5 90250!!Female!!Estimate","ZCTA5 90250!!Female!!Margin of Error","ZCTA5 90250!!Percent Female!!Estimate","ZCTA5 90250!!Percent Female!!Margin of Error","ZCTA5 90301!!Total!!Estimate","ZCTA5 90301!!Total!!Margin of Error","ZCTA5 90301!!Percent!!Estimate","ZCTA5 90301!!Percent!!Margin of Error","ZCTA5 90301!!Male!!Estimate","ZCTA5 90301!!Male!!Margin of Error","ZCTA5 90301!!Percent Male!!Estimate","ZCTA5 90301!!Percent Male!!Margin of Error","ZCTA5 90301!!Female!!Estimate","ZCTA5 90301!!Female!!Margin of Error","ZCTA5 90301!!Percent Female!!Estimate","ZCTA5 90301!!Percent Female!!Margin of Error","ZCTA5 90302!!Total!!Estimate","ZCTA5 90302!!Total!!Margin of Error","ZCTA5 90302!!Percent!!Estimate","ZCTA5 90302!!Percent!!Margin of Error","ZCTA5 90302!!Male!!Estimate","ZCTA5 90302!!Male!!Margin of Error","ZCTA5 90302!!Percent Male!!Estimate","ZCTA5 90302!!Percent Male!!Margin of Error","ZCTA5 90302!!Female!!Estimate","ZCTA5 90302!!Female!!Margin of Error","ZCTA5 90302!!Percent Female!!Estimate","ZCTA5 90302!!Percent Female!!Margin of Error","ZCTA5 90303!!Total!!Estimate","ZCTA5 90303!!Total!!Margin of Error","ZCTA5 90303!!Percent!!Estimate","ZCTA5 90303!!Percent!!Margin of Error","ZCTA5 90303!!Male!!Estimate","ZCTA5 90303!!Male!!Margin of Error","ZCTA5 90303!!Percent Male!!Estimate","ZCTA5 90303!!Percent Male!!Margin of Error","ZCTA5 90303!!Female!!Estimate","ZCTA5 90303!!Female!!Margin of Error","ZCTA5 90303!!Percent Female!!Estimate","ZCTA5 90303!!Percent Female!!Margin of Error","ZCTA5 90304!!Total!!Estimate","ZCTA5 90304!!Total!!Margin of Error","ZCTA5 90304!!Percent!!Estimate","ZCTA5 90304!!Percent!!Margin of Error","ZCTA5 90304!!Male!!Estimate","ZCTA5 90304!!Male!!Margin of Error","ZCTA5 90304!!Percent Male!!Estimate","ZCTA5 90304!!Percent Male!!Margin of Error","ZCTA5 90304!!Female!!Estimate","ZCTA5 90304!!Female!!Margin of Error","ZCTA5 90304!!Percent Female!!Estimate","ZCTA5 90304!!Percent Female!!Margin of Error","ZCTA5 90305!!Total!!Estimate","ZCTA5 90305!!Total!!Margin of Error","ZCTA5 90305!!Percent!!Estimate","ZCTA5 90305!!Percent!!Margin of Error","ZCTA5 90305!!Male!!Estimate","ZCTA5 90305!!Male!!Margin of Error","ZCTA5 90305!!Percent Male!!Estimate","ZCTA5 90305!!Percent Male!!Margin of Error","ZCTA5 90305!!Female!!Estimate","ZCTA5 90305!!Female!!Margin of Error","ZCTA5 90305!!Percent Female!!Estimate","ZCTA5 90305!!Percent Female!!Margin of Error"
"    Population 65 years and over","8,222","±701","(X)","(X)","3,544","±491","(X)","(X)","4,678","±433","(X)","(X)","5,657","±616","(X)","(X)","2,570","±354","(X)","(X)","3,087","±370","(X)","(X)","9,193","±665","(X)","(X)","3,928","±343","(X)","(X)","5,265","±537","(X)","(X)","4,624","±537","(X)","(X)","2,147","±406","(X)","(X)","2,477","±286","(X)","(X)","3,333","±402","(X)","(X)","1,244","±212","(X)","(X)","2,089","±323","(X)","(X)","2,887","±420","(X)","(X)","1,249","±232","(X)","(X)","1,638","±331","(X)","(X)","2,381","±567","(X)","(X)","1,011","±307","(X)","(X)","1,370","±327","(X)","(X)","2,923","±303","(X)","(X)","1,207","±199","(X)","(X)","1,716","±271","(X)","(X)"
"        High school graduate or higher","6,395","±678","77.8%","±4.6","2,626","±428","74.1%","±8.8","3,769","±415","80.6%","±4.8","5,252","±593","92.8%","±3.0","2,438","±344","94.9%","±3.3","2,814","±365","91.2%","±3.8","6,280","±479","68.3%","±4.0","2,733","±292","69.6%","±5.7","3,547","±391","67.4%","±4.6","2,680","±461","58.0%","±6.0","1,254","±351","58.4%","±9.1","1,426","±246","57.6%","±6.6","2,507","±426","75.2%","±7.0","867","±198","69.7%","±8.9","1,640","±340","78.5%","±8.4","1,886","±322","65.3%","±10.5","804","±168","64.4%","±10.5","1,082","±267","66.1%","±13.4","688","±220","28.9%","±9.6","248","±109","24.5%","±11.3","440","±164","32.1%","±11.3","2,709","±306","92.7%","±3.0","1,132","±197","93.8%","±3.9","1,577","±264","91.9%","±4.1"
"        Bachelor's degree or higher","2,203","±411","26.8%","±4.0","908","±237","25.6%","±6.3","1,295","±334","27.7%","±6.0","2,579","±370","45.6%","±5.3","1,303","±199","50.7%","±7.0","1,276","±270","41.3%","±7.1","1,829","±283","19.9%","±3.2","1,039","±196","26.5%","±4.8","790","±196","15.0%","±3.7","646","±273","14.0%","±5.2","314","±200","14.6%","±8.2","332","±137","13.4%","±5.2","788","±200","23.6%","±5.9","274","±103","22.0%","±8.2","514","±160","24.6%","±7.1","382","±95","13.2%","±3.9","162","±69","13.0%","±5.5","220","±73","13.4%","±5.3","119","±70","5.0%","±3.0","38","±42","3.8%","±4.2","81","±53","5.9%","±4.0","794","±160","27.2%","±5.4","270","±86","22.4%","±6.5","524","±127","30.5%","±7.7"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","4,364","±636","(X)","(X)","2,359","±358","(X)","(X)","2,005","±371","(X)","(X)","16,313","±1,104","(X)","(X)","7,766","±589","(X)","(X)","8,547","±681","(X)","(X)","19,646","±1,354","(X)","(X)","10,169","±779","(X)","(X)","9,477","±734","(X)","(X)","4,801","±714","(X)","(X)","2,692","±418","(X)","(X)","2,109","±385","(X)","(X)","3,251","±518","(X)","(X)","1,652","±296","(X)","(X)","1,599","±275","(X)","(X)","2,621","±586","(X)","(X)","1,378","±313","(X)","(X)","1,243","±307","(X)","(X)","4,626","±693","(X)","(X)","2,209","±372","(X)","(X)","2,417","±401","(X)","(X)","916","±272","(X)","(X)","559","±201","(X)","(X)","357","±125","(X)","(X)"
"        High school graduate or higher","3,443","±531","78.9%","±6.0","1,857","±289","78.7%","±7.5","1,586","±329","79.1%","±6.3","15,881","±1,049","97.4%","±1.5","7,549","±546","97.2%","±1.9","8,332","±674","97.5%","±1.5","15,784","±1,098","80.3%","±2.7","8,273","±656","81.4%","±3.1","7,511","±648","79.3%","±3.4","3,306","±519","68.9%","±6.3","1,776","±382","66.0%","±8.6","1,530","±286","72.5%","±8.1","2,524","±403","77.6%","±5.3","1,274","±251","77.1%","±6.6","1,250","±231","78.2%","±7.6","1,841","±506","70.2%","±8.3","1,040","±280","75.5%","±8.0","801","±261","64.4%","±10.6","2,627","±465","56.8%","±6.0","1,314","±293","59.5%","±7.1","1,313","±274","54.3%","±8.4","742","±235","81.0%","±10.7","453","±175","81.0%","±10.8","289","±117","81.0%","±14.1"
"        Bachelor's degree or higher","1,627","±332","37.3%","±5.3","868","±204","36.8%","±7.1","759","±194","37.9%","±7.2","10,205","±778","62.6%","±3.4","4,797","±369","61.8%","±4.2","5,408","±584","63.3%","±4.4","5,809","±703","29.6%","±3.1","3,032","±430","29.8%","±3.8","2,777","±475","29.3%","±4.1","765","±183","15.9%","±3.3","393","±131","14.6%","±4.5","372","±107","17.6%","±4.7","1,082","±271","33.3%","±7.1","538","±176","32.6%","±8.8","544","±159","34.0%","±8.0","298","±139","11.4%","±4.9","121","±67","8.8%","±4.9","177","±98","14.2%","±6.8","597","±202","12.9%","±3.7","224","±121","10.1%","±4.9","373","±146","15.4%","±5.2","305","±129","33.3%","±11.0","187","±85","33.5%","±12.5","118","±79","33.1%","±15.7"
"    White alone, not Hispanic or Latino","2,450","±475","(X)","(X)","1,395","±296","(X)","(X)","1,055","±256","(X)","(X)","14,499","±1,050","(X)","(X)","7,019","±570","(X)","(X)","7,480","±643","(X)","(X)","8,748","±806","(X)","(X)","4,730","±470","(X)","(X)","4,018","±463","(X)","(X)","1,895","±359","(X)","(X)","1,242","±257","(X)","(X)","653","±165","(X)","(X)","1,608","±308","(X)","(X)","842","±197","(X)","(X)","766","±191","(X)","(X)","387","±143","(X)","(X)","246","±106","(X)","(X)","141","±73","(X)","(X)","541","±164","(X)","(X)","267","±98","(X)","(X)","274","±104","(X)","(X)","487","±156","(X)","(X)","308","±136","(X)","(X)","179","±65","(X)","(X)"
"        High school graduate or higher","2,323","±453","94.8%","±3.4","1,325","±276","95.0%","±4.9","998","±252","94.6%","±4.7","14,250","±1,040","98.3%","±0.7","6,885","±558","98.1%","±1.4","7,365","±638","98.5%","±0.8","8,247","±799","94.3%","±1.7","4,404","±464","93.1%","±3.0","3,843","±462","95.6%","±1.9","1,572","±380","83.0%","±8.3","1,001","±287","80.6%","±11.0","571","±165","87.4%","±9.9","1,481","±278","92.1%","±6.9","798","±180","94.8%","±7.0","683","±162","89.2%","±11.9","330","±136","85.3%","±12.9","200","±97","81.3%","±19.2","130","±68","92.2%","±10.2","445","±153","82.3%","±15.8","238","±90","89.1%","±15.7","207","±96","75.5%","±25.9","435","±155","89.3%","±8.6","256","±130","83.1%","±13.5","179","±65","100.0%","±19.9"
"        Bachelor's degree or higher","1,465","±323","59.8%","±7.6","813","±207","58.3%","±10.8","652","±175","61.8%","±9.5","9,513","±823","65.6%","±3.3","4,538","±403","64.7%","±4.0","4,975","±586","66.5%","±4.8","4,091","±606","46.8%","±4.2","2,205","±352","46.6%","±4.8","1,886","±381","46.9%","±6.5","563","±159","29.7%","±6.4","322","±118","25.9%","±7.8","241","±92","36.9%","±12.9","863","±231","53.7%","±9.4","445","±148","52.9%","±12.2","418","±133","54.6%","±11.5","100","±55","25.8%","±14.1","55","±42","22.4%","±16.4","45","±34","31.9%","±24.3","214","±100","39.6%","±15.9","92","±56","34.5%","±18.7","122","±73","44.5%","±21.5","188","±81","38.6%","±18.0","104","±51","33.8%","±17.4","84","±63","46.9%","±25.4"
"    Black alone","19,677","±1,338","(X)","(X)","8,712","±842","(X)","(X)","10,965","±842","(X)","(X)","2,929","±574","(X)","(X)","1,134","±273","(X)","(X)","1,795","±445","(X)","(X)","15,688","±1,219","(X)","(X)","6,372","±705","(X)","(X)","9,316","±790","(X)","(X)","8,499","±953","(X)","(X)","4,242","±575","(X)","(X)","4,257","±584","(X)","(X)","8,485","±870","(X)","(X)","3,248","±455","(X)","(X)","5,237","±633","(X)","(X)","5,571","±598","(X)","(X)","2,653","±359","(X)","(X)","2,918","±306","(X)","(X)","677","±264","(X)","(X)","256","±143","(X)","(X)","421","±196","(X)","(X)","8,666","±741","(X)","(X)","3,935","±418","(X)","(X)","4,731","±508","(X)","(X)"
"        High school graduate or higher","17,973","±1,310","91.3%","±2.0","7,894","±810","90.6%","±2.5","10,079","±816","91.9%","±2.7","2,785","±544","95.1%","±4.8","1,119","±278","98.7%","±3.2","1,666","±406","92.8%","±7.3","14,408","±1,092","91.8%","±2.7","5,896","±672","92.5%","±2.6","8,512","±686","91.4%","±4.3","7,795","±901","91.7%","±2.4","3,804","±581","89.7%","±4.5","3,991","±544","93.8%","±2.6","7,941","±868","93.6%","±2.4","3,174","±448","97.7%","±1.9","4,767","±611","91.0%","±3.6","5,168","±577","92.8%","±2.7","2,389","±359","90.0%","±4.5","2,779","±291","95.2%","±2.4","549","±197","81.1%","±14.2","176","±103","68.8%","±31.3","373","±157","88.6%","±15.1","8,338","±746","96.2%","±1.3","3,772","±415","95.9%","±2.0","4,566","±520","96.5%","±1.7"
"        Bachelor's degree or higher","6,326","±861","32.1%","±3.7","2,651","±494","30.4%","±4.9","3,675","±550","33.5%","±4.5","1,500","±392","51.2%","±10.4","644","±181","56.8%","±10.6","856","±325","47.7%","±15.2","4,018","±688","25.6%","±3.6","1,539","±383","24.2%","±5.1","2,479","±423","26.6%","±4.0","1,982","±354","23.3%","±3.5","643","±260","15.2%","±5.4","1,339","±267","31.5%","±5.6","2,587","±408","30.5%","±4.2","930","±238","28.6%","±6.5","1,657","±303","31.6%","±5.6","1,571","±206","28.2%","±3.6","627","±125","23.6%","±5.0","944","±182","32.4%","±4.9","220","±143","32.5%","±18.4","64","±61","25.0%","±23.4","156","±109","37.1%","±21.1","3,018","±415","34.8%","±4.7","1,170","±250","29.7%","±5.3","1,848","±293","39.1%","±6.6"
"    American Indian or Alaska Native alone","237","±127","(X)","(X)","156","±119","(X)","(X)","81","±81","(X)","(X)","334","±166","(X)","(X)","163","±89","(X)","(X)","171","±94","(X)","(X)","998","±314","(X)","(X)","520","±192","(X)","(X)","478","±171","(X)","(X)","401","±166","(X)","(X)","253","±122","(X)","(X)","148","±77","(X)","(X)","166","±103","(X)","(X)","79","±59","(X)","(X)","87","±57","(X)","(X)","165","±102","(X)","(X)","107","±68","(X)","(X)","58","±46","(X)","(X)","463","±325","(X)","(X)","223","±154","(X)","(X)","240","±188","(X)","(X)","37","±58","(X)","(X)","0","±21","(X)","(X)","37","±58","(X)","(X)"
"        High school graduate or higher","219","±123","92.4%","±7.8","156","±119","100.0%","±22.4","63","±73","77.8%","±23.2","302","±158","90.4%","±8.8","163","±89","100.0%","±21.5","139","±82","81.3%","±15.4","529","±195","53.0%","±11.8","274","±121","52.7%","±14.1","255","±107","53.3%","±14.2","193","±106","48.1%","±14.7","120","±94","47.4%","±22.6","73","±51","49.3%","±18.9","134","±84","80.7%","±15.1","60","±47","75.9%","±20.9","74","±51","85.1%","±16.5","123","±81","74.5%","±17.9","82","±59","76.6%","±21.6","41","±37","70.7%","±23.4","254","±195","54.9%","±15.5","49","±40","22.0%","±16.6","205","±182","85.4%","±21.8","37","±58","100.0%","±54.1","0","±21","-","**","37","±58","100.0%","±54.1"
"        Bachelor's degree or higher","53","±86","22.4%","±27.5","48","±82","30.8%","±39.0","5","±11","6.2%","±18.1","65","±65","19.5%","±13.9","6","±10","3.7%","±6.7","59","±64","34.5%","±27.2","181","±118","18.1%","±9.5","68","±55","13.1%","±8.9","113","±73","23.6%","±11.7","10","±16","2.5%","±4.0","0","±28","0.0%","±14.6","10","±16","6.8%","±11.2","82","±68","49.4%","±25.7","30","±30","38.0%","±28.8","52","±46","59.8%","±29.2","19","±29","11.5%","±16.2","19","±29","17.8%","±23.7","0","±25","0.0%","±43.2","9","±14","1.9%","±3.4","0","±25","0.0%","±16.4","9","±14","3.8%","±6.8","0","±21","0.0%","±54.1","0","±21","-","**","0","±21","0.0%","±54.1"
"    Asian alone","774","±241","(X)","(X)","350","±180","(X)","(X)","424","±133","(X)","(X)","4,164","±632","(X)","(X)","1,685","±370","(X)","(X)","2,479","±361","(X)","(X)","5,688","±664","(X)","(X)","2,701","±360","(X)","(X)","2,987","±367","(X)","(X)","1,043","±527","(X)","(X)","623","±410","(X)","(X)","420","±180","(X)","(X)","693","±322","(X)","(X)","308","±187","(X)","(X)","385","±165","(X)","(X)","308","±141","(X)","(X)","166","±80","(X)","(X)","142","±78","(X)","(X)","1,125","±567","(X)","(X)","517","±341","(X)","(X)","608","±265","(X)","(X)","127","±80","(X)","(X)","57","±58","(X)","(X)","70","±46","(X)","(X)"
"        High school graduate or higher","663","±193","85.7%","±14.8","289","±133","82.6%","±27.2","374","±123","88.2%","±10.0","4,065","±627","97.6%","±1.4","1,619","±362","96.1%","±2.5","2,446","±365","98.7%","±1.4","4,912","±614","86.4%","±4.0","2,343","±335","86.7%","±5.1","2,569","±341","86.0%","±3.9","983","±523","94.2%","±7.2","576","±408","92.5%","±10.5","407","±179","96.9%","±4.9","624","±327","90.0%","±8.9","243","±188","78.9%","±20.0","381","±165","99.0%","±3.2","269","±130","87.3%","±9.2","162","±81","97.6%","±5.2","107","±65","75.4%","±18.2","903","±382","80.3%","±14.4","432","±254","83.6%","±9.7","471","±204","77.5%","±22.7","127","±80","100.0%","±26.5","57","±58","100.0%","±43.6","70","±46","100.0%","±39.3"
"        Bachelor's degree or higher","478","±162","61.8%","±15.1","205","±100","58.6%","±24.4","273","±117","64.4%","±13.5","3,149","±534","75.6%","±5.3","1,384","±340","82.1%","±5.3","1,765","±293","71.2%","±7.4","2,979","±400","52.4%","±4.4","1,487","±253","55.1%","±6.6","1,492","±250","49.9%","±6.0","627","±380","60.1%","±15.8","355","±306","57.0%","±24.3","272","±144","64.8%","±15.6","250","±121","36.1%","±21.3","36","±35","11.7%","±12.9","214","±103","55.6%","±25.5","105","±68","34.1%","±18.3","59","±52","35.5%","±22.8","46","±35","32.4%","±20.7","439","±193","39.0%","±11.7","192","±131","37.1%","±13.6","247","±143","40.6%","±18.3","83","±68","65.4%","±24.1","44","±55","77.2%","±34.4","39","±34","55.7%","±33.8"
"    Native Hawaiian and Other Pacific Islander alone","85","±78","(X)","(X)","12","±19","(X)","(X)","73","±73","(X)","(X)","54","±49","(X)","(X)","27","±26","(X)","(X)","27","±37","(X)","(X)","167","±100","(X)","(X)","88","±61","(X)","(X)","79","±62","(X)","(X)","143","±136","(X)","(X)","83","±77","(X)","(X)","60","±69","(X)","(X)","0","±25","(X)","(X)","0","±25","(X)","(X)","0","±25","(X)","(X)","12","±18","(X)","(X)","12","±18","(X)","(X)","0","±25","(X)","(X)","225","±220","(X)","(X)","111","±130","(X)","(X)","114","±104","(X)","(X)","0","±21","(X)","(X)","0","±21","(X)","(X)","0","±21","(X)","(X)"
"        High school graduate or higher","81","±76","95.3%","±14.4","8","±15","66.7%","±66.7","73","±73","100.0%","±38.5","54","±49","100.0%","±44.8","27","±26","100.0%","±63.3","27","±37","100.0%","±63.3","167","±100","100.0%","±21.1","88","±61","100.0%","±34.6","79","±62","100.0%","±36.9","143","±136","100.0%","±24.1","83","±77","100.0%","±35.9","60","±69","100.0%","±42.5","0","±25","-","**","0","±25","-","**","0","±25","-","**","12","±18","100.0%","±95.0","12","±18","100.0%","±95.0","0","±25","-","**","225","±220","100.0%","±16.2","111","±130","100.0%","±29.4","114","±104","100.0%","±28.8","0","±21","-","**","0","±21","-","**","0","±21","-","**"
"        Bachelor's degree or higher","18","±28","21.2%","±37.2","0","±28","0.0%","±95.0","18","±28","24.7%","±42.5","18","±20","33.3%","±32.9","18","±20","66.7%","±46.5","0","±28","0.0%","±63.3","44","±41","26.3%","±15.9","0","±31","0.0%","±34.6","44","±41","55.7%","±28.4","88","±111","61.5%","±45.2","44","±54","53.0%","±44.2","44","±61","73.3%","±48.3","0","±25","-","**","0","±25","-","**","0","±25","-","**","0","±25","0.0%","±95.0","0","±25","0.0%","±95.0","0","±25","-","**","81","±135","36.0%","±50.3","35","±59","31.5%","±56.0","46","±77","40.4%","±50.2","0","±21","-","**","0","±21","-","**","0","±21","-","**"
"    Some other race alone","3,661","±574","(X)","(X)","1,746","±357","(X)","(X)","1,915","±342","(X)","(X)","966","±235","(X)","(X)","449","±173","(X)","(X)","517","±156","(X)","(X)","11,647","±907","(X)","(X)","5,895","±561","(X)","(X)","5,752","±493","(X)","(X)","7,195","±994","(X)","(X)","3,625","±604","(X)","(X)","3,570","±558","(X)","(X)","4,303","±956","(X)","(X)","2,497","±743","(X)","(X)","1,806","±382","(X)","(X)","4,705","±791","(X)","(X)","2,459","±425","(X)","(X)","2,246","±441","(X)","(X)","6,507","±880","(X)","(X)","3,419","±487","(X)","(X)","3,088","±491","(X)","(X)","702","±239","(X)","(X)","259","±114","(X)","(X)","443","±155","(X)","(X)"
"        High school graduate or higher","2,211","±403","60.4%","±6.5","931","±236","53.3%","±11.2","1,280","±283","66.8%","±7.0","804","±211","83.2%","±10.1","390","±161","86.9%","±9.1","414","±142","80.1%","±14.4","7,276","±700","62.5%","±4.2","3,824","±459","64.9%","±4.4","3,452","±371","60.0%","±5.2","3,557","±512","49.4%","±4.9","1,777","±344","49.0%","±6.0","1,780","±288","49.9%","±6.3","2,697","±772","62.7%","±7.3","1,673","±651","67.0%","±9.1","1,024","±316","56.7%","±10.1","2,571","±432","54.6%","±6.2","1,394","±286","56.7%","±8.5","1,177","±268","52.4%","±9.4","3,070","±440","47.2%","±5.5","1,574","±261","46.0%","±6.0","1,496","±305","48.4%","±7.4","506","±192","72.1%","±13.1","196","±102","75.7%","±18.3","310","±127","70.0%","±13.9"
"        Bachelor's degree or higher","581","±212","15.9%","±5.6","179","±105","10.3%","±5.7","402","±171","21.0%","±8.3","427","±184","44.2%","±15.8","156","±102","34.7%","±20.1","271","±120","52.4%","±17.0","1,348","±363","11.6%","±3.0","726","±287","12.3%","±4.6","622","±155","10.8%","±2.7","825","±192","11.5%","±2.4","357","±139","9.8%","±3.5","468","±148","13.1%","±3.9","670","±259","15.6%","±3.9","396","±230","15.9%","±5.3","274","±136","15.2%","±6.9","330","±143","7.0%","±3.1","192","±115","7.8%","±4.7","138","±67","6.1%","±3.2","649","±186","10.0%","±3.1","328","±142","9.6%","±4.1","321","±118","10.4%","±4.1","90","±53","12.8%","±7.0","17","±19","6.6%","±7.8","73","±51","16.5%","±10.0"
"    Two or more races","2,745","±654","(X)","(X)","1,266","±365","(X)","(X)","1,479","±343","(X)","(X)","3,170","±676","(X)","(X)","1,647","±449","(X)","(X)","1,523","±398","(X)","(X)","9,195","±1,148","(X)","(X)","4,596","±667","(X)","(X)","4,599","±623","(X)","(X)","3,803","±887","(X)","(X)","2,065","±508","(X)","(X)","1,738","±465","(X)","(X)","3,298","±1,005","(X)","(X)","1,304","±604","(X)","(X)","1,994","±636","(X)","(X)","2,170","±499","(X)","(X)","982","±252","(X)","(X)","1,188","±309","(X)","(X)","3,110","±799","(X)","(X)","1,901","±694","(X)","(X)","1,209","±276","(X)","(X)","655","±265","(X)","(X)","276","±145","(X)","(X)","379","±150","(X)","(X)"
"        High school graduate or higher","2,091","±509","76.2%","±9.1","957","±307","75.6%","±10.9","1,134","±280","76.7%","±9.5","2,939","±584","92.7%","±5.3","1,548","±442","94.0%","±4.6","1,391","±370","91.3%","±11.3","6,718","±839","73.1%","±4.4","3,527","±561","76.7%","±5.2","3,191","±445","69.4%","±5.6","2,965","±809","78.0%","±5.8","1,646","±481","79.7%","±6.9","1,319","±413","75.9%","±7.0","2,457","±764","74.5%","±7.5","921","±405","70.6%","±11.0","1,536","±557","77.0%","±9.6","1,390","±367","64.1%","±6.7","646","±211","65.8%","±11.2","744","±244","62.6%","±9.0","1,518","±390","48.8%","±7.9","851","±295","44.8%","±9.6","667","±228","55.2%","±10.5","543","±243","82.9%","±12.4","178","±120","64.5%","±26.4","365","±150","96.3%","±3.9"
"        Bachelor's degree or higher","724","±218","26.4%","±8.6","227","±112","17.9%","±9.3","497","±163","33.6%","±10.3","1,797","±424","56.7%","±10.1","916","±256","55.6%","±12.3","881","±309","57.8%","±12.3","1,689","±357","18.4%","±4.0","762","±236","16.6%","±5.0","927","±231","20.2%","±5.0","779","±356","20.5%","±7.8","391","±219","18.9%","±9.8","388","±219","22.3%","±9.5","724","±234","22.0%","±8.3","147","±101","11.3%","±9.1","577","±219","28.9%","±11.0","321","±120","14.8%","±5.3","82","±65","8.4%","±6.2","239","±116","20.1%","±9.0","322","±175","10.4%","±4.6","202","±134","10.6%","±6.0","120","±87","9.9%","±6.1","203","±113","31.0%","±16.0","77","±56","27.9%","±21.2","126","±73","33.2%","±16.4"
"    Hispanic or Latino Origin","7,198","±749","(X)","(X)","3,461","±445","(X)","(X)","3,737","±450","(X)","(X)","4,918","±738","(X)","(X)","2,198","±454","(X)","(X)","2,720","±470","(X)","(X)","31,365","±1,362","(X)","(X)","15,691","±851","(X)","(X)","15,674","±832","(X)","(X)","13,709","±1,173","(X)","(X)","7,033","±718","(X)","(X)","6,676","±639","(X)","(X)","8,295","±1,219","(X)","(X)","4,313","±898","(X)","(X)","3,982","±542","(X)","(X)","8,835","±1,056","(X)","(X)","4,442","±547","(X)","(X)","4,393","±589","(X)","(X)","14,056","±1,190","(X)","(X)","7,405","±850","(X)","(X)","6,651","±598","(X)","(X)","1,372","±324","(X)","(X)","641","±188","(X)","(X)","731","±180","(X)","(X)"
"        High school graduate or higher","4,378","±509","60.8%","±4.9","1,952","±280","56.4%","±7.0","2,426","±373","64.9%","±6.0","4,354","±570","88.5%","±5.4","1,988","±404","90.4%","±5.7","2,366","±417","87.0%","±7.5","20,708","±1,112","66.0%","±2.4","10,731","±750","68.4%","±2.9","9,977","±665","63.7%","±2.7","7,875","±886","57.4%","±3.9","3,990","±573","56.7%","±4.8","3,885","±472","58.2%","±4.8","5,144","±919","62.0%","±4.7","2,699","±737","62.6%","±6.6","2,445","±401","61.4%","±6.2","5,174","±766","58.6%","±5.0","2,724","±457","61.3%","±6.7","2,450","±434","55.8%","±6.1","6,875","±738","48.9%","±3.4","3,423","±502","46.2%","±4.5","3,452","±445","51.9%","±4.4","991","±265","72.2%","±8.5","469","±161","73.2%","±11.4","522","±154","71.4%","±10.0"
"        Bachelor's degree or higher","1,089","±296","15.1%","±4.0","312","±151","9.0%","±4.3","777","±225","20.8%","±5.4","2,029","±406","41.3%","±7.7","861","±251","39.2%","±10.8","1,168","±256","42.9%","±7.5","4,197","±577","13.4%","±1.8","2,032","±406","13.0%","±2.5","2,165","±320","13.8%","±2.0","1,799","±387","13.1%","±2.6","777","±244","11.0%","±3.3","1,022","±275","15.3%","±3.6","1,398","±327","16.9%","±3.5","544","±238","12.6%","±4.1","854","±258","21.4%","±5.8","683","±180","7.7%","±2.0","266","±113","6.0%","±2.5","417","±153","9.5%","±3.3","1,321","±281","9.4%","±1.9","649","±192","8.8%","±2.5","672","±171","10.1%","±2.5","236","±100","17.2%","±5.8","116","±70","18.1%","±9.1","120","±60","16.4%","±7.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
